#,"[Question] Question","[Player] Player ID"
1,"Who is the model of Goldilocks which is considered one of the most beautiful person in the world","1"
2,"Who is the model of Goldilocks which is considered one of the most beautiful person in the world","3"
3,"Who is the model of Goldilocks which is considered one of the most beautiful person in the world","3"
4,"Who is the model of Goldilocks which is considered one of the most beautiful person in the world","1"
5,"What is the color of the shirt","1"
6,"What is the color of the shirt","1"
7,"What is the color of the shirt","2"
8,"what is the color of the models t shirt","1"
9,"what is the color of the models t shirt","1"
9,"","14"
