#,"[Question] Question"
1,"Who is the model of Goldilocks which is considered one of the most beautiful person in the world"
2,"Who is the model of Goldilocks which is considered one of the most beautiful person in the world"
3,"Who is the model of Goldilocks which is considered one of the most beautiful person in the world"
4,"Who is the model of Goldilocks which is considered one of the most beautiful person in the world"
5,"Who is the model of Goldilocks which is considered one of the most beautiful person in the world"
6,"What is the color of the shirt"
7,"What is the color of the shirt"
8,"What is the color of the shirt"
9,"what is the color of the models t shirt"
10,"what is the color of the models t shirt"
10,""
