#,"[Question] Question ID","[Question] Question","COUNT of Points Attained","Time Answered"
1,"2","Who is the model of Goldilocks which is considered one of the most beautiful person in the world","1","0000-00-00 00:00:00"
2,"2","Who is the model of Goldilocks which is considered one of the most beautiful person in the world","1","2017-04-07 13:47:11"
3,"2","Who is the model of Goldilocks which is considered one of the most beautiful person in the world","1","2017-04-07 13:47:28"
4,"2","Who is the model of Goldilocks which is considered one of the most beautiful person in the world","1","2017-04-07 13:47:52"
5,"2","Who is the model of Goldilocks which is considered one of the most beautiful person in the world","1","2017-04-10 02:26:00"
6,"3","What is the color of the shirt","1","0000-00-00 00:00:00"
7,"3","What is the color of the shirt","1","2017-04-07 13:47:11"
8,"3","What is the color of the shirt","1","2017-04-10 00:00:00"
9,"4","what is the color of the models t shirt","1","0000-00-00 00:00:00"
10,"4","what is the color of the models t shirt","1","2017-04-07 13:47:11"
10,"27","","",""
